"Story","Title","Result","Date","Stability","Duration (s)"
"Buy car test","Buy car flow positive","ERROR","2015-08-28T16:49:46.087+03:00","0.0","48.29"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2015-08-28T16:52:00.569+03:00","0.0","0.0"
"Search by keyword story","Searching by keyword apple should display the corresponding article","PENDING","2015-08-28T16:52:00.570+03:00","0.0","0.0"
"Search by keyword story","Searching by keyword banana should display the corresponding article","PENDING","2015-08-28T16:52:00.566+03:00","0.0","0.0"
"Login test","Test blank email","SUCCESS","2015-08-28T16:50:38.392+03:00","0.0","29.09"
"Login test","Test go to the forgot password","PENDING","2015-08-28T16:51:07.479+03:00","0.0","0.0"
"Login test","Test incorrect email","SUCCESS","2015-08-28T16:51:44.845+03:00","0.0","14.4"
"Login test","Test invalid email","SUCCESS","2015-08-28T16:51:30.604+03:00","0.0","13.81"
"Login test","Test valid login","SUCCESS","2015-08-28T16:51:07.867+03:00","0.0","22.3"
"Registration test","Test valid registration","PENDING","2015-08-28T16:52:00.242+03:00","0.0","0.0"
